Feature,Class,Probability,MeanBeta
BA108,7,0.483,-0.024480303244554934
BA108,8,0.677,0.27834115300906065
BA111,0,0.597,0.15166319751415008
BA111,1,0.719,0.3626742054393052
BA111,2,0.723,0.3678015687285423
BA111,3,0.611,0.19678943351240413
BA111,4,0.641,0.24206332009488535
BA111,5,0.679,0.3211688846559686
BA111,6,0.668,0.3092065266153376
BA111,7,0.674,0.28589910972874377
BA111,8,0.654,0.25602073843303186
BA115,0,0.484,0.017020506475021017
BA115,1,0.48,-0.033027129547963566
BA115,2,0.464,-0.0514975400592296
BA115,3,0.47,-0.05002977729062605
BA115,4,0.466,-0.046841717631425285
BA115,5,0.467,-0.03701646790473716
BA115,6,0.514,0.021681475821024584
BA115,7,0.497,-0.0004947259822553013
BA115,8,0.66,0.2366980100959274
BA116,0,0.625,0.19964144127766253
BA116,1,0.47,-0.0426405546731157
BA116,2,0.617,0.18209802446008483
BA116,3,0.471,-0.040929075011749985
BA116,4,0.465,-0.04002050559954083
BA116,5,0.494,0.014272860293269945
BA116,6,0.485,-0.022389739300402813
BA116,7,0.46,-0.018368322665234492
BA116,8,0.461,-0.07397157670782918
BA121,0,0.68,0.31920075974992507
BA121,1,0.686,0.313983432784815
BA121,2,0.647,0.24513541200916006
BA121,3,0.633,0.22860320848857238
BA121,4,0.677,0.28115580655888117
BA121,5,0.652,0.2670663316084355
BA121,6,0.7,0.3368500040529143
BA121,7,0.654,0.2478284256034231
